Nombre,Precio,Descripcion
Orden de birria de borrego,150,
1/2 Ración de birria de borrego,130,
A la plancha,160,
Barbacoa de borrego,150,
A la plancha,160,
1/2 Ración de barbacoa de borrego,130,
A la plancha,160,
Dos rutas steak,240,"Rib eye con huevos al gusto, chilaquiles, aguacate y frijoles"
Machaca con huevo,160,Acompañado de chilaquiles y frijoles
Chilaquiles rojo o verde,190,Con arrachera asada y huevos al gusto
Chilaquiles rojo o verde con huevo,130,
Enchiladas suizas,150,Verdes acompañadas de frijoles
Omelette del chef,150,"Con chistorra, queso, papa, frijoles y salsa especial del chef"
Omelette de chicharrón prensado,150,Acompañado de chilaquiles y frijoles
Omelette primavera,140,"Espinaca, elote, cebolla, tomate y queso"
Huevos con jamón a la mexicana,90,
Hot cakes con frutas,80,
Hot cakes,120,Con tocino y huevo al gusto
,,
Café de hoya,35,
Café,30,
Jugo de frutas de temporada,60,
Agua fresca de frutas de temporada,40,
,,
Chorizo al vino,100,
Chistorra a la sidra,120,
Albóndigas chupa dedos,120,
Hongos al ajillo,140,
,,
Paella mixta,200,Acompañada de ensalada mediterránea
Paella de mariscos,220,Acompañada de ensalada mediterránea
Rib eye a las brasas (300g),300,Acompañado de vegetales
Rib eye a las brasas (500g),420,Acompañado de vegetales
T-Bone a las brasas (300g),300,
T-Bone a las brasas (500g),300,
Ensalada mediterránea,0,"Lechuga, pepino, cebolla, tomate cherry, morrón asado, aderezo de aceite de olivo y balsámico"
,,
Camarón al ajillo,300,
Pulpo a las brasas (300g),350,Con chimichurri de albahaca acompañado de puré de camote
Pulpo a la gallega,250,Delicia de la cocina española con aceite de oliva y pimentón ahumado
Quesadilla de pulpo (orden de 3),250,
,,
Lechón al horno entero (sobre pedido),3000,
Cabrito al horno entero (sobre pedido),3300,
Borrego al horno entero (sobre pedido),3300,
